purchase_id,category
bab6d30c-a04a-4302-a1ad-792c128651a0,beef
4c763035-31e1-4766-92ef-c7ed3d2aab4a,pastry
2fb5c2ac-d852-4adf-97ed-0c54650f7341,fruit/vegetable juice
2afe2d5b-0630-4cb7-9b8b-b4e5fa9744ec,canned beer
4806f6dd-e35d-4b51-8ec6-554f36b824fc,root vegetables
97e3258c-e83f-4726-a3a9-77a528cd1be0,citrus fruit
33fdd5b7-4931-46eb-acde-a9ffef11cfb3,sausage
4eab3660-606f-4232-a7a3-85eb2d63f72a,tropical fruit
daa96660-70b5-4cf9-9247-d10260086043,berries
ac24c08b-a691-4095-b10b-c90fcf53053e,canned beer
467ca015-0fe2-474d-a86b-09d377ca000c,butter milk
736f88d1-bbe1-4cd7-b8fa-c6779df176a0,coffee
a6908a4d-def1-4a4f-af31-8c9b30457c90,pastry
eae81f26-fba5-4bef-8b00-374bac1d1974,rolls/buns
1bae8ce8-bcad-4b55-b67c-52a6a934614f,misc. beverages
8af69f66-e7ee-4ed5-a7bb-13bc63457b1b,root vegetables
8dd16fc7-ee10-4cb4-9fa0-0fb810b1a208,sausage
2aed151a-8dd9-4d03-881a-1bb95055d0ca,canned beer
c89d6126-8e2f-4137-878e-cd33e564ff89,ham
29b0de93-27c5-487d-ad7b-af22a4fd267d,turkey
89604c26-b4fe-4fc6-8929-3c78757d8f9f,whole milk
9fdc1a55-5032-4b24-8933-a70c2f917465,whole milk
5b09b346-1372-4129-9cc7-9051cdbfb4fb,packaged fruit/vegetables
4f705ae6-7bae-40e7-943d-baf0888d87ad,rolls/buns
49025821-78d2-464a-939e-fd75af8aecbb,ham
f4c82a3a-8019-4223-8032-44bcf12b85b9,rolls/buns
7ca687c9-cd37-4558-a270-618e6c179ca0,other vegetables
458a8a98-af25-4abe-97e2-19dea60039d9,sausage
c277a094-5ea9-412a-9d7d-ffd5f8b30881,sausage
398af024-608d-419b-9540-e0f2cc576eb0,frankfurter
94869ab3-f793-47fd-9a5d-840f666becf4,rolls/buns
4b54c667-af79-448a-9054-3f23adaf00be,whole milk
81d2f18e-6760-4ad3-b4ea-ddf951361ad0,curd cheese
a6e737ce-033d-47fc-9454-d7216f4120c3,red/blush wine
aa759efb-b82d-440a-9d7f-733b4c9a11ec,sausage
338a488f-72b7-450f-9299-dd54dc26b7a6,tropical fruit
31bf9c5b-92ef-4f0b-a5f7-8a5077988803,red/blush wine
52b2c257-9a87-4422-945d-e6e82205b638,whole milk
88c6bbb0-a12e-4cc8-9aa0-c825ca9778bc,frankfurter
bb2c83fe-d2a5-419c-b6be-59ced12c365c,whole milk
f088853e-7cfb-48c3-8702-bda2c77398ad,frozen potato products
3d0e6a49-1324-4e1f-9b55-e9212ec4fedd,other vegetables
5d5f3793-4dc5-49d9-8af5-164dc9f51b36,citrus fruit
207c9932-d656-4245-8f3c-8ae92f3d7c79,flour
26b5949f-abbb-4886-bf26-2fe49c5fa945,sugar
9a2953a4-beb3-4751-8f9d-d201cc8f1ccc,frozen meals
0a3d68cc-f850-4a0d-b3bd-9477dbc094d9,chocolate
000c5a97-ee1f-4ffe-b02a-bdc1a011a0f8,root vegetables
a78f3b33-ce1a-4d5b-b535-ebb91f9e7179,root vegetables
dca93483-3566-4dbd-b62c-22019dde79c2,herbs
49e49eb5-1d1c-4445-8c86-c21b0e1291b9,bottled water
ad505e79-906f-4cfb-89a4-7dcb29fc8cf8,sausage
c3ed6546-6584-4537-b2cf-e3068265900c,coffee
c62f1a5c-e31f-48f7-8852-b8efc75e4414,pork
e98fac9a-e9c3-4ec4-8053-a58286b1f0a9,berries
a1e91914-874b-488d-806f-15d274eae590,soda
7d0159d8-3428-44b2-a282-a1d7c5f060e2,berries
38a8773c-90f6-41ba-bd3c-1340e5a075ad,fruit/vegetable juice
b19d44d5-d038-4d43-95f3-0f7788d9fd42,citrus fruit
0f1b7ea5-05ed-4e5c-a335-25c20d6b4dcd,pork
a7c52e09-3222-4334-b374-be2174a31c11,detergent
cbf04e42-302f-49e9-ab0b-cc22e1224cc2,grapes
b3e9f326-b3e3-4f5c-9994-35196941b298,sausage
b9ffaff1-afa5-471c-b805-5ad3a9bd73ff,chicken
aa248c32-2260-4ee8-a721-0ed0dd68f332,whole milk
7f9dc61d-2e01-4ac8-8d90-9f9ccf54bd3e,citrus fruit
bb1a13e3-d857-4bf2-9f2a-7b7eb5e2f942,soda
a8ed1629-7168-45d4-b3aa-16dd9bb263d1,sausage
6cc62376-763e-4c73-803c-9e5c65d3158f,frankfurter
156f8cd6-30e1-4a23-a547-34825e3c91b0,sausage
365aaab6-cb1b-4f3f-89d3-9181c2842052,soda
e4800d10-c472-4ba0-9b45-1c2fd034a666,rolls/buns
648860ad-ccc0-4200-a1c1-c79fc6357362,beef
10ba4d65-723f-4fbf-a150-00ea5c40cddf,whole milk
41762462-46bd-4ba1-9a3b-069388488685,processed cheese
8af21372-ebca-473d-940b-bb848b8d8914,tropical fruit
5be0a72f-917f-4ce6-b555-452cf58320b6,frankfurter
e2879030-390a-4736-b409-0dee8f27d3de,packaged fruit/vegetables
833ef5d4-089e-4324-bcfc-7e9451aa4660,whole milk
f8814579-3bbc-4676-ac70-7d2d5cfc5053,berries
0a6fe06f-78a6-428d-be26-c1a5fc935a0d,citrus fruit
1cef9a2b-e043-4aa4-8252-211f2aecbe96,tropical fruit
b0a45566-1d44-448d-95b6-f60b8640bea2,hamburger meat
e0cac29a-3325-489b-8fde-3ec92d6a1b39,hamburger meat
2aa80895-fd00-4fbc-a6a7-a8ca78325497,whole milk
2a71f175-cf92-4fcb-8c2a-068b22212f69,fish
2191d66d-83b6-45ff-96ab-6fba51fb569b,frankfurter
6b6d783a-e920-401e-98b7-b87c7c23aa4a,packaged fruit/vegetables
a64cce8b-ec05-4962-860b-650fabae449b,pastry
bb302ab2-135f-456b-adb3-aafc1a6d9c40,other vegetables
9c7d6aab-8f85-4bb8-ab91-48f5aaa15d7d,misc. beverages
e0f99a50-7c09-4664-805d-a78c8ab47471,frankfurter
6125f716-0316-4995-8d3a-d72a520574c3,sparkling wine
17b0395d-427f-49b8-b0bd-b6ce85a9b982,specialty bar
4adae4dd-e8c4-446a-a090-f5f1adc8e080,sausage
94c2e31e-4c32-4f81-a0ec-bb9681b505b5,curd cheese
26f547bd-e11b-4f44-b812-5049290448de,frankfurter
fe4b5075-eae6-413c-bf7b-e88933e61ee9,whole milk
f727a3df-8dcb-475b-beec-243113e0f0a7,newspapers
52782dcf-ce58-46ea-87ae-7e2a1f62042f,berries
108a4944-7517-4bdb-b485-40f2717d6124,curd
210add7c-c096-4440-a02f-1a30818c743b,tropical fruit
86b3fe6b-dae8-480f-a234-8f835e5a9a40,soda
aa5535d9-bb3b-4766-8928-f487c2c44387,rolls/buns
88fdb29b-d6f7-442a-acc2-46c32f0cc723,canned beer
d359d106-1cfa-40fd-9ec9-18025a0407e4,canned beer
a56f8dab-1dab-48f4-ac95-ecdeda5ef2f7,frankfurter
c946138f-0c4b-43bf-b92d-ea477bd2195e,other vegetables
6857a91d-e8be-4b8c-b9ab-d95a487d0a03,whole milk
eb6db7c8-b781-4bf5-8210-b3cdd23dedbc,whole milk
d9607bb2-0d0a-4b14-acee-b1e50e54a0e5,citrus fruit
c18d33b0-6084-40a3-911c-c26b4ad6aafd,frankfurter
2a927a2d-6c9f-483a-a105-61f892618984,frankfurter
806ed516-248b-44f1-b439-70fc02926944,butter milk
4fb69de9-4dbf-4fcb-9603-a4e7d03b978f,hamburger meat
5b3446da-6db3-49d7-a617-704cab860fc0,pasta
5a6b9dc4-d577-4ce6-84b2-f49ff7d25739,other vegetables
26009b2e-877a-433c-834c-3d94ee3ad032,sausage
a8665451-6c3b-4815-9478-c8be5384800e,rolls/buns
e284b39d-4edd-4b01-a5c0-e987c574900f,grapes
a59b80f4-3a3f-484c-933c-eb7ab9692a2c,root vegetables
aa43e0b8-7dd5-4010-972c-c5c0dd31cbe4,coffee
c10962de-324d-4708-bb0e-9faf3114a59e,popcorn
3bbe17b3-79d5-479e-8b96-e8befff4ff3c,whole milk
627da867-e08d-48d8-9008-e7deda6734fe,tropical fruit
867ad442-1f4d-4063-b8da-41d84c773471,beef
816815c3-4953-4167-a216-d7d8506d2644,whole milk
1cd5871a-1218-4767-ae56-4f7c4cfcc8e7,frankfurter
dffa5c67-9434-4429-bb85-1a86cdeaa69c,tropical fruit
d0133395-0c2f-400d-8352-af1f26b48bd5,canned beer
e0f5d94d-9f30-40f9-8da7-ab2881f82857,finished products
217c6e76-c88e-46a2-9a32-5d7ed1953a8a,beverages
d74e0fec-1008-4fca-b905-736b3bb294db,hamburger meat
019a181f-a201-4de8-9109-db3028713f3a,whole milk
b278a72d-31f9-4ebb-b9ad-48c587cecc19,finished products
6dc1b1d9-565b-46f4-9b74-782c84778da6,other vegetables
7a2c6072-4d88-4dd7-8c66-6c63c2a2c97d,ham
813dd2cc-f824-46a3-b0cf-0760e53a5aee,other vegetables
55ad83ec-95e1-45a6-96c0-35ec8fd2f5e1,curd
6b7612bd-d770-4068-8bed-8216a3f00973,bottled beer
1554c38d-571c-4cd7-9885-e12549d0628f,curd
28c4c9aa-b93a-43bc-a04b-90485fb73355,whole milk
dc735452-00ce-4f2b-913a-2f8c73136f3a,whole milk
2c8e4574-c769-481d-9e15-8e6f264e0879,dessert
c09e5afd-9757-4e98-9c00-b1fa1de21fd9,sausage
bbafc821-328c-4b1d-abfb-5bbadcb62833,other vegetables
05290e02-f606-4c51-975a-210a784066f7,ham
4991d3a6-b954-4cc7-a4b8-f9a268e9d688,other vegetables
e7d5e0d5-f4fe-460c-8c91-1005bb03335f,other vegetables
d0e8b50c-768e-4108-86b2-bff5cf5786d4,soda
6974c930-7d62-4b3b-abff-cb1f5524bd1a,herbs
645ef8a5-1abd-4196-b9d6-63108263e6ec,frankfurter
f2ccb621-2f01-4ed4-8360-47c7cf46ace2,rolls/buns
2a059914-650a-40d0-8554-f4027f67f3b8,curd
f4b2d848-c508-4171-a7fb-d70447dbe6e6,frankfurter
3e235100-5b5d-46fe-a050-459d1a20090a,other vegetables
3438dfe4-e7ce-490c-94cf-7ed19a2ccb1f,dog food
c6333a95-fd8b-480c-a109-65541577dd23,specialty bar
0e30b328-3d45-4a3f-b57d-b5b6f6aec353,curd
f7b8eae2-df19-4bf2-b426-aa0e75dbdcc0,frankfurter
1b307912-e644-484e-afe4-7c57028e9e5a,soda
b0d5bd27-b343-4474-be46-06ded1404c4e,beef
f52a1909-ec81-40ed-8b1c-b355fad33251,canned beer
f44fbbb5-428a-400c-a95d-40e284c61792,pork
0cfc9c9c-b094-4f62-b745-360e1425e2ed,frankfurter
178a3bdb-8e60-4718-9ac8-4a907c9038fb,sausage
7b8ecf07-91ca-4109-be6d-987e1e4b96fb,canned beer
36029179-e150-4902-9f97-e33c4b183885,specialty chocolate
95ed7c2f-de4f-4f62-8a91-1fee5b995a7d,curd
00b5b592-3c55-4600-823e-80c891788ff6,canned beer
83133811-9cdd-44d9-ba3b-0d321e5139f7,whole milk
1f92d89e-d905-4c47-b124-eecd465478bf,rolls/buns
2835b71a-6496-43e3-93af-e48d31e445bb,pork
02d9e6b2-a556-4865-84fa-02f07719cc8d,citrus fruit
2ced2bf6-d81a-4470-89c4-110b2fdd1b41,pot plants
10a0d1d3-a46b-4b09-ba8a-2e6fa6202c9c,rolls/buns
ede72345-01f4-4de3-afc5-c711f805adeb,butter
d5ebbaf8-681e-47a2-8f86-e898bf3411ab,condensed milk
235c4583-87ef-4262-9313-ecaefeda9822,sausage
eb425506-f076-4bfa-94d9-0414c31fc782,whole milk
d2e3a074-00ac-4913-b0eb-fd0169386bb1,sausage
958f61c4-e1be-4a63-bcfe-282fdb4c394d,beverages
c9ebe49c-e4ae-4c42-97a2-20dfc6d3f756,beverages
94586750-4bc5-445b-a5ef-1042eb2d3868,bottled water
1e5574f2-fe7a-4b67-8978-5947b3a13951,newspapers
7c07b936-bd5d-490c-b582-c221ac18478d,cleaner
364a40a2-f36e-4c1d-8073-79c062b828f3,sausage
00782d28-05af-4a40-9dc6-f8d4c2c3e856,newspapers
0bc1bbd8-2430-4434-958f-c888ec55dc50,sausage
fe5d0474-b3a1-417e-9a90-6461b1a68284,misc. beverages
e3cdb347-2673-4f7c-b665-663f6b191c02,white wine
076bfdd5-a8a8-45df-bdd0-80ff8fc38377,sausage
76a2a0d3-d3bc-484f-a58d-2f6c23a033ba,meat
0e9bb550-e64f-4e1a-8be1-353ec2e876f2,frankfurter
a44b2a17-b321-4141-94ee-6d5a7dfd28fb,ice cream
e70d5044-8832-4540-813f-e5a8369f98f1,canned beer
a209ff68-0e0c-4d0a-ab30-7a38b3d786e1,tropical fruit
1f8c65c4-07d2-405b-b654-9802adbee7d9,meat
9e6ab4c5-8dc6-4bd4-9405-3f9567dd773c,whole milk
3a786a0e-efe0-4da9-8f83-5fefb2afe171,sausage
34df3366-1fa5-4fc2-8423-2eb6aa2c3516,frankfurter
694e53fc-eaf0-451c-a001-497fffbc2f20,meat
5d67fd9f-2883-4f3a-b3ad-d0e8114e5424,root vegetables
977bac98-fdb0-4244-8310-46d1f264dfef,root vegetables
a44d11c0-e8b5-43da-8d16-2b5a1245bf03,whole milk
bd6bc526-19f3-485d-9920-4386e41bbf05,citrus fruit
d947bbec-57e1-4bfa-be29-027ed37480e8,citrus fruit
f0d21958-4646-409c-8f77-4b6ef13d4636,other vegetables
1529210f-80e6-4426-983d-f55c409b834c,citrus fruit
cf73330f-e004-43ea-b0df-1ff7c4e9a51b,sausage
75ff1935-565f-40ba-9cb2-14b3019ce349,frankfurter
94d9b7e5-2825-4610-a114-5ad46914e764,hard cheese
c388d26e-efc0-4119-8413-6615873af7a2,cream cheese 
eedd88c9-873a-4bc1-8571-e1d18d823d39,turkey
2fe4aa60-3559-4559-9ec0-17d4d3846892,pork
88b19f3d-f656-4783-9ff4-9678c2270632,whole milk
278c330a-eeae-4350-b885-e2b36398b042,rolls/buns
be92f2b6-6523-48da-8ce0-59a690ca9025,sausage
3b6cbb01-1aef-454f-977a-846c95b5ba3e,ice cream
e7df4026-fbc4-4449-9daa-c92188f45264,liquor
410b25ba-4806-44c4-88f9-40bd357031a4,pip fruit
a451fd06-bff4-410e-8710-af5899fd205f,root vegetables
7342bd54-03c2-4f09-9e82-750df721b8c4,soda
001b3188-e86c-4891-b87c-6104fe16c4e8,soda
9dd41747-d4e4-41e4-8335-87c2b8b864e2,sausage
cd10a343-4c94-4cce-b726-e9d0db289a2b,root vegetables
269487b8-f7ad-408d-88d2-b097eec3e71a,pork
e1a4fea4-bf99-42a2-9675-5cc1ff66c72b,pork
bd672644-9f7e-47d6-bde0-ab5869f9f8d1,chocolate
de352a80-216e-4a1b-af1f-101abd5ff146,fruit/vegetable juice
d8df8eee-5862-47ea-a93b-e96c706856fb,pickled vegetables
e72c63d8-958c-440f-88c8-d2fdc0831856,bottled water
fea00d15-0e7e-4248-82b9-af2a850eb7fd,frankfurter
76516496-b14b-4543-94b7-a8f399b2b551,tropical fruit
aa3d3107-2c23-4f65-a4bb-de69f00a90e2,canned beer
7a15c038-f210-47ad-a9b4-d645b3cd10a9,root vegetables
be91d2e3-84e4-47e9-8b39-8de122c5a8ba,meat
1c1deaf7-55f3-40ad-8404-7efecea42612,frankfurter
70809627-0616-4b66-aa6c-273637f2c82e,tropical fruit
30c38de1-1920-4bbb-908b-f881f243fd83,tropical fruit
aec16ed2-a3ba-4a39-a071-2b9aba9178c2,citrus fruit
238c017c-c2a1-4478-b019-fd33e14e03f4,hamburger meat
f5ca73e6-0239-4451-9580-5e6151cc2e38,chicken
3c26ed44-ccb8-4301-8a5c-b2b4b8bd3429,chicken
69a49821-95fb-47f6-b6a7-d632b1849961,frankfurter
aced688e-196f-4375-bf1a-d59f1f1d04bb,canned beer
79735954-25ee-432b-958d-0449059d1613,turkey
bc2e5992-a5ff-45a5-972a-6d542d2eef74,packaged fruit/vegetables
efe61906-1be6-4348-98de-80318c8ae8f1,pasta
e1a47d8f-a253-4233-83f6-7571eef13cbf,citrus fruit
ff4bc27a-c3bd-4274-896c-3d2dd27307ae,sausage
d385287c-9317-4e9c-94cc-8fe23d8b3708,whole milk
d7d3d800-9797-4e52-907b-fd2218d813e6,canned beer
c48b57d8-b250-41d9-812b-c905015ae119,citrus fruit
af707464-31a2-4422-9660-c26ff198a4ca,liquor (appetizer)
9ab1c455-4fcf-4a7c-8ed2-1a6846a5b033,citrus fruit
1cdfd2d7-1d73-4931-bb40-601ba9485778,sausage
acc805ca-c91f-4409-bd39-c84c4a8ee4d4,chicken
7b944bb2-6cdb-48f5-a3b5-e25c43ed1e0d,hamburger meat
94e00e45-5d72-4a1e-979f-39906237ab24,sausage
71d72c96-a2f0-4a2f-90d3-d15160d05e69,beef
e08fbf18-26c5-4f63-ae25-587bf6e46941,citrus fruit
8c6f72e5-d279-45ce-869c-8127bf1a85da,UHT-milk
5ca0b48d-760d-477b-8dd5-472d7158bf18,candy
932c4161-6eb6-4d72-b3b6-673e5e7d2949,newspapers
079ba292-ae8b-485e-9e6c-b76beb8e0607,beef
bce2b7c1-dfd4-4411-bb0a-6f2b760d8a29,sausage
6f98d929-93dd-432b-bfa7-b07deee0b0cf,frankfurter
5a2ea63e-d02b-4d80-9663-3a29c3dcb01b,canned beer
1a32afb1-81fd-4caa-b183-5303799236c7,bottled beer
ccc8f17d-df87-44c0-b1cf-0b37a3e6d9cf,onions
eab925d1-1acf-480b-8e8d-9c947fd5ff18,tropical fruit
9c2eccd3-d944-4c25-8b93-e1020c536475,bottled water
97bded01-0362-43e1-8bca-000fbbd857fb,beef
fb046e66-0218-4dc9-95b1-233e1e1833bd,sausage
0fa062eb-186f-4495-8635-324b686d6e11,hair spray
9c31deb2-aee0-4b95-b449-f2a11286963b,chicken
40785c3c-bc6a-4eb5-b687-9bc11f6fc5a2,pork
6b035140-807d-4f9d-bc50-5db55d4263e8,ice cream
f3af8ba8-0bf5-49bb-a91a-9b8b8f02a53d,meat
66c23909-e9a6-467b-a5b5-0128c7ee0aa8,other vegetables
16437c8c-9942-4843-8129-b470fabb7ab7,bottled water
039b8b2b-4151-458e-9b49-446dc34b8576,tropical fruit
02321325-96e8-4ff3-a283-aca9daef3d99,photo/film
82177bbc-e938-4afc-bf07-4f4ee482e79d,sausage
8acc03d1-e0d5-43e4-9fd7-b7e38ba64d76,grapes
ca4fd413-57e6-4b3f-b7be-edcd43b48d36,domestic eggs
4b918745-18a3-4f9f-8e5c-0db8baede24b,rolls/buns
276fe86c-63a8-4854-ad70-33e80811e37c,tropical fruit
774b3dee-83c6-4787-9f25-e4c232316476,chicken
106885b4-af23-468f-b5fa-8eeb8ce64df2,frankfurter
553f06a9-8d50-44f1-93cf-9b6f95c2f8a0,berries
7fb7de67-b000-4d74-96ce-0253f8eccb95,margarine
2ad6e970-df1a-4220-a748-1c288380a1f4,tropical fruit
0bdb90af-0224-424f-8169-d009bfe654ee,ham
2a2a9886-3f7d-42e0-9863-056977d8de74,hamburger meat
8c4ce882-3934-453c-8e24-70676f648b29,yogurt
8280bd5a-f39a-4db2-9e03-89823b95e4d2,soda
3d685e63-b873-4854-8a76-32f52a4dc975,yogurt
bc635809-b22b-491f-9e1d-d54827192f6f,soda
9b7bd972-710c-477b-aed0-d7c23e6087f7,bottled water
550500ad-1992-45d5-89a3-d240fa79bb27,sausage
61f697e3-000e-4fb1-9afa-28621e0ace52,citrus fruit
ca3b7c59-3229-440a-a75a-32a23c5d99a3,shopping bags
8b201385-946d-4092-aa98-eba93014cb38,newspapers
97f61597-c36b-404b-a8f4-764afc442439,frankfurter
6651d125-50b0-4c67-b982-79c043a61ad5,sausage
06c7509c-42b5-44ce-b4c5-c02a0de3ad43,frankfurter
ba329fcf-6a40-47d6-9d07-33ec14937a23,salt
bf3292b6-b9be-4047-af95-1947bad1e453,oil
2820c984-020d-41cc-a3ed-905b8440a38b,curd
19ee576c-d40c-425b-b793-24fb25873ae3,other vegetables
c362e82c-dfbb-4964-8248-4d5c50bf0293,citrus fruit
df8d11ee-3d47-465f-8064-a3d40c8745e4,frankfurter
73e8ff4f-b5fe-4381-981c-e10aac8f4fad,root vegetables
a49d7ca1-05c7-4dc1-9424-2d1ffbce91f5,tropical fruit
a8917ed3-c91e-4818-9afd-188369af9d5a,beef
bc864f58-75de-4483-8fb7-299b1fcf0dfc,berries
e9450f25-fe4d-407d-9eb8-453f28c8eec5,canned beer
63e6af61-276d-42da-81d3-85865a27104d,whipped/sour cream
85bccb29-348f-4a3c-bb89-4c80b329e2da,root vegetables
1335c46b-2486-44c1-a67f-184c44f7fff2,whole milk
5205197c-6207-463c-9f82-fd70a96e8e05,beef
d0529529-e9b2-4371-862f-ee2afc16683a,frozen vegetables
485f6036-f9ba-4643-b4f2-9b7820af0909,rolls/buns
1c3ddac7-d6e3-41f6-b3e7-e1dfa77f1eb6,whole milk
afaf4821-e298-4fb6-8816-5dd475688a55,whole milk
ae60d2a0-266d-40be-b5a2-ede48f9c9ea0,citrus fruit
f9a98723-ccd3-4389-9666-e41c1ab66cfd,pastry
25e70c8f-779e-4dfc-b727-7690eae586d6,frankfurter
7138fced-7417-4201-8eb9-8dcc4b1ba3e3,tropical fruit
30f70452-fe4b-4249-98b6-72ca11adf1ba,frankfurter
72724563-21de-4584-b88b-5b5eca5c77e4,berries
05c7d24e-f336-4c99-a8c7-c63d5a4364bf,rolls/buns
9af73dd9-09df-46d9-b27a-e48d4f75edc7,root vegetables
81991ba0-e543-4bc7-9b72-ee1950054b47,yogurt
379e8c46-1d68-40d6-8cd8-8a176a4dce0d,other vegetables
ed7176e3-d44c-4815-bbad-d78c9a5beaa9,berries
a206d075-7258-4e13-9e58-6fa2abde61ce,berries
ad500c7a-9c84-45e0-93d5-d3900bca0ed8,other vegetables
daa9a5f9-4be7-4183-b567-2cc43908dd58,rolls/buns
e062d544-57f0-45b3-8ae6-520d5f06cd6e,ham
ca895e97-5f30-4a3a-a3cd-0cc93607989f,whole milk
d5988978-57f0-46c0-b90f-0db196661d33,tropical fruit
7d49ab21-8dda-4c5f-ad67-61bf2f455f4b,bottled water
befd5524-3fb5-46b2-bcde-e992be3bdaf0,butter milk
60172175-1f95-41dc-a698-6607613bdd46,newspapers
8ccd9fee-5f0b-4bd9-8658-f03b54e96f04,coffee
57be8924-dd95-4ee4-9e43-247ff5437523,bottled beer
0240b115-e469-405d-a5bd-3dd9513e3d5d,onions
77bad68f-48f4-41b9-aacc-36984c552862,hamburger meat
c5b3c8a8-ed18-42f5-b3b9-fab3a389f132,sausage
3cda33d3-5e0b-4d09-852f-af32f577e152,hard cheese
5e18887b-e08b-44f5-a936-b346122985f8,sausage
d69d7046-c0da-4614-910c-e2582ac78205,hamburger meat
56d811a9-47b5-499b-bc9b-28ccaf21981e,onions
c1dc95aa-7d2a-4323-bc52-2e461736cfcf,coffee
687f7f4b-c5be-4a9b-9fda-5905b3332a9d,shopping bags
afb046cf-c713-4bc5-b34f-36271b1a8a16,yogurt
92b12738-8211-404e-bbd3-cf049e7ec4ad,soda
ac3c9163-6bcb-4aa6-9c8c-0f27b6abf78a,sliced cheese
b42837ed-1c94-4ae9-9ef1-d02d05c9c166,sausage
604cd4b7-1939-4cbd-b8fe-a19b42b4f701,yogurt
782c9c74-5d3a-406b-9bfa-7b08891c54e7,domestic eggs
36c0ccda-0944-4dea-8924-d50230011ccc,whole milk
3e36c003-d1ac-4970-9c67-8015f0f3ee49,meat
15881f7c-18f3-4db3-84a6-21063dbc4f53,dish cleaner
2bbf8726-035a-4ff3-b18e-d55976a4785a,other vegetables
5db6e5b4-4d1b-4900-8f4a-b8ff1380e49a,whole milk
54f2b080-055b-4852-bfe4-8644e82a80a6,other vegetables
9ba86d8b-671e-48a0-a2b0-c440ef66dee4,tropical fruit
6af1f7c7-5aa4-499c-929b-0bed28951713,baking powder
4992fb39-19ed-43a3-a8e9-d46a77ca9ed5,specialty bar
5cc7f4d9-a2cd-4148-8a7f-df4a6a6c2915,ice cream
827f9085-8a27-44fe-897f-d2255e11cbd4,frankfurter
9db99ec7-f03b-4fc4-8bb9-a49e1d015fc1,canned beer
491218b6-f08b-406e-9d1b-dc41da986ca9,bottled water
3f6c7b45-f946-46a5-a298-510f8dd726c9,other vegetables
20950e08-06e9-4d8e-9124-499ea955186f,citrus fruit
9077964e-9e10-4798-8cc0-5c2e6ed4897e,sausage
c7230c78-5d79-453f-b88d-5568aa11b107,domestic eggs
14e95a58-1e2e-426d-9e60-b2231aecd03b,pork
4c5a3d1d-5945-410a-97da-ff250f34d046,specialty cheese
3da492b6-4f34-4e62-b9c4-091777a1158c,pork
2af8808a-04ec-4a64-a68d-9e6403c96076,beef
7e7f7f5b-2eac-4cb2-a20a-551953e735c6,other vegetables
7aa44f3c-487c-40ef-a389-0593647cfc29,chicken
84eecdd2-27aa-46ac-bf61-8f65351bf592,soda
c334779e-9e2b-4085-be69-2d495936db5f,whole milk
fc76e9a1-37c0-4082-af71-566590fbb97d,rolls/buns
5620e0b4-ed48-406e-bb20-ddad4f53fce3,bottled beer
20a5a2f4-c381-46e4-a4d6-acaac9f0014f,root vegetables
dda01fb9-77e1-4b49-9f82-6e47e2c7476c,pastry
697bc4f0-8ff1-4278-bd42-800e7be6787c,berries
c32b9c81-e408-4b69-a87a-832ed1a92b1b,citrus fruit
9f3cb2fe-faa3-40d7-b023-21b2adabb3c1,whole milk
87a32bd7-b4f4-41a2-a96c-87838eb22c18,soda
4ab36253-e377-4bdf-9468-c0d7e11a7f0e,bottled water
